date,mean,sd,skewness,kurtosis,contrast,dissimilarity,homogeneity,ASM,entropy,energy,lag1_mean,lag2_mean,lag3_mean,lag4_mean
2012-12-01,-9.136339,0.817493,1.9215286766917132,2.729231232458482,0.16483516483516483,0.16483516483516483,0.9175824175824177,0.5275932858350441,1.7244336648023053,0.7263561700949777,-11.035453,-9.01011,-10.90649,-10.217404
2013-01-01,-10.495436,1.3004181,1.3746595532507202,1.1167964937270671,0.3241758241758242,0.2912087912087912,0.8576923076923076,0.22331240188383047,2.9525610338709534,0.4725594162471323,-9.136339,-11.035453,-9.01011,-10.90649
2013-05-01,-8.722799,0.9892099,1.661066821016609,1.8794243783028088,0.25274725274725274,0.25274725274725274,0.8736263736263736,0.27237048665620095,2.556081539609697,0.5218912594173244,-10.495436,-9.136339,-11.035453,-9.01011
2013-09-01,-10.602241,1.2172797,1.5186961612900831,1.4849718734604025,0.2967032967032967,0.2857142857142857,0.8582417582417582,0.22396147808235722,2.834988901807791,0.47324568469491324,-8.722799,-10.495436,-9.136339,-11.035453
2013-12-01,-9.110062,0.87856287,1.8629696201811672,2.4722124472220193,0.16483516483516483,0.16483516483516483,0.9175824175824177,0.505977538944572,1.7841934690918055,0.711320981656363,-10.602241,-8.722799,-10.495436,-9.136339
2014-01-01,-10.365163,1.184662,1.5575132951400978,1.5621121147288655,0.3241758241758242,0.3021978021978022,0.8510989010989011,0.21125166042748458,2.972842016506437,0.4596212140746819,-9.110062,-10.602241,-8.722799,-10.495436
2014-05-01,-9.200432,1.0042124,1.6378881879194214,1.8315305167238236,0.2527472527472528,0.2417582417582418,0.8802197802197804,0.31766996739524217,2.578975365276521,0.5636221849743338,-10.365163,-9.110062,-10.602241,-8.722799
2014-09-01,-10.271984,1.1367006,1.5772281175544265,1.6711306213469532,0.3131868131868132,0.2912087912087912,0.8565934065934065,0.22525963047941067,2.944855016489756,0.4746152446765808,-9.200432,-10.365163,-9.110062,-10.602241
2014-12-01,-9.915578,1.018377,1.7798327991681149,2.214914440773944,0.26373626373626374,0.23076923076923078,0.887912087912088,0.4282846274604517,2.179753774294657,0.6544345860821016,-10.271984,-9.200432,-10.365163,-9.110062
2015-01-01,-10.195822,1.2564441,1.4953786334038772,1.3509311183017507,0.3131868131868132,0.2912087912087912,0.8565934065934067,0.21239886487139234,3.0288043353022736,0.4608675133608273,-9.915578,-10.271984,-9.200432,-10.365163
2015-05-01,-9.262832,1.021498,1.6343964905917567,1.7889740039999733,0.2582417582417582,0.2582417582417582,0.8708791208791211,0.2940918971138752,2.6285861736386438,0.5423024037507811,-10.195822,-9.915578,-10.271984,-9.200432
2015-09-01,-10.671452,1.3022397,1.4608673635205836,1.3602670341106018,0.34615384615384615,0.3241758241758242,0.8401098901098901,0.2113120396087429,3.1240072181180754,0.45968689301386756,-9.262832,-10.195822,-9.915578,-10.271984
2015-12-01,-10.018663,1.1023138,1.6456815599516625,1.7454012741908729,0.28571428571428575,0.26373626373626374,0.8703296703296703,0.3608863663808719,2.5189355668961824,0.6007381845536972,-10.671452,-9.262832,-10.195822,-9.915578
2016-01-01,-10.375372,1.3584349,1.4444408805546791,1.1513188138629333,0.3351648351648352,0.3021978021978022,0.8521978021978022,0.20263253230286202,3.0408984271500765,0.4501472340277812,-10.018663,-10.671452,-9.262832,-10.195822
2016-05-01,-8.672026,1.1049497,1.5102514940560028,1.4516983898162525,0.23626373626373623,0.23626373626373623,0.8818681318681318,0.26661936964134764,2.6252754840332484,0.5163519823156948,-10.375372,-10.018663,-10.671452,-9.262832
